artist_name	song_name	lyrics
Soda Stereo	En el Séptimo Día	Odio este domingo hbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los ttulos vi caer tu nombre y reaccion, reaccion. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da no descansar... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el sptimo da el abismo y la luna en el sptimo da. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da No descansar...
Soda Stereo	Prófugos	Somos cómplices los dos al menos sé que huyo porque amo necesito distensión estar asi despierto es un delirio de condenados Como un efecto desigual yo siempre tomaré el desvío tus ojos nunca mentirán pero ese ruido blanco es una alarma a mis oidos No seas tan cruel no busques más pretextos no seas tan cruel siempre seremos prófugos los dos No tenemos donde ir somos como un area desvastada carreteras sin sentido religiones sin motivo como podremos hoy vivir No seas tan cruel no busques más pretextos no seas tan cruel siempre seremos, siempre seremos prófugos los dos
Soda Stereo	En Remolinos	Dejame vivir este sueño el mejor que he tenido Una flor, una flor, otra flor un maestro, una causa, un efecto Quien sabra el valor de tus deseos? quien sabra? Gira el sol, gira el mundo, gira Dios energia misteriosa, resplandor Al flotar mi cuerpo en remolinos, resplandor otra flor... Paraiso, zona pura, perfeccion Florecer mirandome a los ojos, perfeccion florecer mirandome a los ojos, perfeccion florecer los dos, florecer florecer los dos, florecer florecer...
Soda Stereo	Planeador	Gira el disco lentamente por la habitación soy piloto de juguetes entre nubes voy Cruzo el valle en mi fragil planeador La ternura de tu duda mi habitual rincón en cada minimo detalle creo oir tu voz Cruza el valle suenas fragil como yo
Soda Stereo	Persiana Americana	Yo te prefiero fuera de foco inalcanzable Yo te prefiero irreversible casi intocable Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Es una condena agradable el instante previo es como un desgaste una necesidad más que un deseo Estamos al borde de la cornisa casi a punto de caer no sientes miedo sigues sonriendo sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Lo que pueda suceder no gastes fuerzas para comprender sólo así yo te veré a través de mi persiana americana
Soda Stereo	Signos	No hay un modo no hay un punto exacto te doy todo y siempre guardo algo Si estás oculta como sabré quien eres me amas a obscuras duermes envuelta en redes Signos mi parte insegura bajo una luna hostil signos, oh Mar de fondo No caeré en la trampa llámame pronto acertijos bajo el agua Si algo cedes, calmaré tu histeria con los dientes rasgaré tus medias Signos mi parte insegura bajo una luna hostil signos oh Signos uniendo fisuras figuras sin definir signos oh Signos mi parte insegura bajo una luna hostil signos oh Signos uniendo fisuras figuras sin definir signos oh
Soda Stereo	Un Millón de Años Luz	No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz Y cuando el mundo enmudece y las promesas engañan nos revolcamos en el jardin por donde nadie pasa Del fuego vino el diluvio la nave vuelve a partir y mi alimento son las cenizas de una noche larga No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz de casa De las historias pasadas ya no me aturde saber que ella conoce mi perversion en una noche larga y esta noche es larga No vuelvas sin razón no vuelvas yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa
Soda Stereo	Luna Roja	el salio y dejo la casa vacia se entrego al suave aire del desierto y entonces la vio la luna roja sobre el mar negro luna roja primero leon luego cordero ruega a dios poder volver del desierto desde que vio la luna roja sobre el mar negro luna  roja cuidame yo te cuidare yo tambien pague placeres ciegos no quiero ver la luna roja sobre el mar negro luna roja luna roja es peligrosa es peligrosa
Soda Stereo	Crema de Estrellas	Lo que irradia esta noche es especial Sobre el lago resplandece esperaba una tenue aparición nebulosa como siempre e imaginé, su rostro vivido... Cuando esta oscuro todo empieza a verse mas claro en mi constelación Recordé su gustos, conversación astral las canciones que oiamos su cuerpo lunar, refugio celestial y el PH de su saliva y me perdi en la inmensa quietud una crema de estrellas parece cubrirlo todo en mi constelación Recordé su gustos, conversación astral las canciones que oiamos Y subi... Y subi...
Soda Stereo	Hombre al Agua	Nena, nunca voy a ser un superhombre y sueles dejarme solo estoy abriendo el juego un juego elctrico y sueles dejarme solo. Ay, Ay, Ay (sin respuesta) El riesgo es el camino, es tan intenso y sueles dejarme solo Afuera el fro embiste. Adentro el vrtigo y sueles dejarme solo. Ay, Ay, Ay Nena nunca voy a ser un superhombre y sueles dejarme solo
Soda Stereo	Sueles Dejarme Solo	Nena, nunca voy a ser un superhombre y sueles dejarme solo estoy abriendo el juego un juego elctrico y sueles dejarme solo. Ay, Ay, Ay (sin respuesta) El riesgo es el camino, mas intenso y sueles dejarme solo Afuera el fro embiste. Adentro el vrtigo y sueles dejarme solo. Ay, Ay, Ay Nena nunca voy a ser un superhombre y sueles dejarme solo
Soda Stereo	En la Ciudad de la Furia	Me verás volar por la ciudad de la furia donde nadie sabe de mi y yo soy parte de todos Nada cambiará con un aviso de curva en sus caras veo el temor ya no hay fábulas En la ciudad de la furia Me verás caer como un ave de presa me verás caer sobre terrazas desiertas Me desnudaré por las calles azules me refugiaré antes que todos despierten Me dejarás dormir al amanecer entre tus piernas, entre tus piernas sabrás ocultarte bien y desaparecer entre la niebla, entre la niebla Un hombre alado extraña la tierra Me verás volar por la ciudad de la furia donde nadie sabe de mi y yo soy parte de todos La luz del Sol derrite mis alas sólo encuentro en la oscuridad lo que me une con la ciudad de la furia Me verás caer como una flecha salvaje me verás caer entre vuelos fugaces Buenos Aires se ve tan susceptible es el destino de furias lo que en sus caras persiste Me dejarás dormir al amanecer entre tus piernas, entre tus piernas sabrás ocultarte bien y desaparecer entre la niebla, entre la niebla Un hombre alado prefiere la noche Me veras volver Me veras volver...
Soda Stereo	Efecto Doppler	Efecto Doppler Oye la frecuencia decaer cada vez que me dejas. Te perseguiría hasta el sol, pero hoy es solo inercia. Y un milenio pasa Oye el arco suena a lagrimas, cada vez que lo tensas. Y oye las sirenas en el mar, si es que aún no lo entiendes. Es el efecto doppler cuando te alejas de mí. Es el efecto doppler cuando te alejas de mí. Vuelve, vuelve...
Soda Stereo	De Música Ligera	Odio este domingo híbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los títulos vi caer tu nombre y reaccioné, reaccioné. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día no descansaré... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el séptimo día el abismo y la luna en el séptimo día. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día No descansaré...
Soda Stereo	Juegos De Seducción	Voy a ser tu mayordomo y vos haras el rol de señora bien o puedo ser tu violador la imaginación esta noche todo lo puede Te llevaré hasta el extremo te llevaré, abrazame, este es el juego de seducción Estamos solos en la selva nadie puede venir a rescatarnos estoy muriendome de sed y es tu propia piel la que me hace sentir este infierno Te llevaré hasta el extremo te llevaré, abrazame este es el juego de seducción Te llevaré hasta el extremo te llevaré te llevaré,abrazame este es el juego de seducción Estoy muriendome de sed y es tu propia piel la que me hace mover, me hace mover, me hace mover en extremo
Soda Stereo	Imágenes Retro	debo tomar el antidoto para romper con la rigidez vivo como un sonanbulo buscando plieges en la pared Ohhhhhhh telarañas sueño con telarañas telarañas.. que cuelgan de mi .. esto parece un museo de seda un simulacro demasiado real debo encontrar algun sitio afuera debo cambiar la cena... entre... telarañas sueño con telarañas telarañas.. que cuelgan de mi ... mis ojos perciben otra ves imagenes retro asi es la trama de este film, tu propio reflejo retro...... mis ojos perciben otra ves imagenes retro reproduciendose sin fin dejandome inmovil entre... telarañas sueño con telarañas telarañas.. que cuelgan de mi ... telarañas sueño con telarañas telarañas.. que cuelgan de mi ... Ohhhhhhhhhhh ohhhhhhhhh ohh.....
Soda Stereo	Texturas	Son las seis tus relieves me despiertan despues de tanto descansar tiempo al tiempo de volver a celebrar necesito al mundo para darme cuenta me hace falta despues de todo siempre vamos a encontrar texturas, texturas Conocer, tu medida en mi medida acariciando diferencias siempre vamos a encontrar figuras necesito al mundo para darme vuelta mas consigues mas querras tiempo al tiempo de volver a celebrar sin culpa Dispare una frase al viento y una mujer cayo..... Texturas, texturas
Soda Stereo	Hombre Al Agua	Nena, nunca voy a ser un superhombre y sueles dejarme solo estoy abriendo el juego un juego elctrico y sueles dejarme solo. Ay, Ay, Ay (sin respuesta) El riesgo es el camino, es tan intenso y sueles dejarme solo Afuera el fro embiste. Adentro el vrtigo y sueles dejarme solo. Ay, Ay, Ay Nena nunca voy a ser un superhombre y sueles dejarme solo
Soda Stereo	En la Ciudad de la Furia	Me verás volar por la ciudad de la furia donde nadie sabe de mi y yo soy parte de todos Nada cambiará con un aviso de curva en sus caras veo el temor ya no hay fábulas En la ciudad de la furia Me verás caer como un ave de presa me verás caer sobre terrazas desiertas Me desnudaré por las calles azules me refugiaré antes que todos despierten Me dejarás dormir al amanecer entre tus piernas, entre tus piernas sabrás ocultarte bien y desaparecer entre la niebla, entre la niebla Un hombre alado extraña la tierra Me verás volar por la ciudad de la furia donde nadie sabe de mi y yo soy parte de todos La luz del Sol derrite mis alas sólo encuentro en la oscuridad lo que me une con la ciudad de la furia Me verás caer como una flecha salvaje me verás caer entre vuelos fugaces Buenos Aires se ve tan susceptible es el destino de furias lo que en sus caras persiste Me dejarás dormir al amanecer entre tus piernas, entre tus piernas sabrás ocultarte bien y desaparecer entre la niebla, entre la niebla Un hombre alado prefiere la noche Me veras volver Me veras volver...
Soda Stereo	Zoom	Quiero un zoom anatomico quiero el fin del secreto Entre tus labios de plata y mi acero inolvidable quiero un loop protagonico Pruebame y veras que todos somos adictos a estos juegos de artificio Voy a hacerte un macro porno intenso Lo que seduce nunca suele estar donde se piensa Zoom Por aqui­ ya estuve te largas a rei­r pues con mi zoom dame un zoom Luz, camara y accion
Soda Stereo	Corazón Delator	Un señuelo hay algo oculto en cada sensación ella parece sospechar parece descubrir en mi debilidad los vestigios de una hoguera oh mi corazón se vuelve delator traicionandome Por descuido fui victima de todo alguna vez ella lo puede percibir ya nada puede impedir en mi fragilidad es el curso de las cosas oh mi corazón se vuelve delator se abren mis esposas... un suave latigo una premonición dibujan llagas en las manos un dulce palpito la clave intima se van cayendo de mis labios (mantra) Un señuelo hay algo oculto en cada sensación ella parece sospechar parece descubrir en mi que aquel amor es como un océano de fuego oh mi corazón se vuelve delator la fiebre volvera de nuevo un suave latigo una premonición dibujan llagas en las manos un dulce palpito la clave intima se van cayendo de mis labios... como un mantra de mis labios de mis labios
Soda Stereo	Signos	No hay un modo no hay un punto exacto te doy todo y siempre guardo algo Si estás oculta como sabré quien eres me amas a obscuras duermes envuelta en redes Signos mi parte insegura bajo una luna hostil signos, oh Mar de fondo No caeré en la trampa llámame pronto acertijos bajo el agua Si algo cedes, calmaré tu histeria con los dientes rasgaré tus medias Signos mi parte insegura bajo una luna hostil signos oh Signos uniendo fisuras figuras sin definir signos oh Signos mi parte insegura bajo una luna hostil signos oh Signos uniendo fisuras figuras sin definir signos oh
Soda Stereo	Danza Rota	DANZA ROTA DE SODA STEREO ALBUM NADA PERSONAL las luces me queman la cara no te puedo hallar cómo salir de este castigo soy prisionero de un ritmo cruel aqui estoy deshilajandome hay anarquia en mis movimientos y al mismo tiempo alguien los controla se van cayendo mis ligamentos yo no puedo ser libre sin vos CORO: dame dame una pista algun rastro para hallarte estoy bailando una danza rota quisiera escaparme las luces me queman las manos con la depresion nadie puede meterse soy una mueca absurda fingiendo diversion deseandote CORO: dame dame una pista algun rastro para hallarte estoy bailando una danza rota quisiera escaparme CORO: dame dame una pista algun rastro para hallarte estoy bailando una danza rota quisiera escaparme danza rota dame uuuuuu dame uuuuuu CORO: dame una pista algun rastro para hallarte estoy bailando una danza rota quisiera escaparme
Soda Stereo	Persiana Americana	Yo te prefiero fuera de foco inalcanzable Yo te prefiero irreversible casi intocable Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Es una condena agradable el instante previo es como un desgaste una necesidad más que un deseo Estamos al borde de la cornisa casi a punto de caer no sientes miedo sigues sonriendo sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Lo que pueda suceder no gastes fuerzas para comprender sólo así yo te veré a través de mi persiana americana
Soda Stereo	Fue	He llegado hasta el fin con los brazos cansados tantas veces te vi simulando el olvido y eso pasó Me embriagué hasta el vacio con tu miel venenosa fuiste mia y el hastio nos llevó al desengaño y eso pasó Fue y fue y fue Suaves telas sobre el piso una parte de la euforia y lo mas resbaladizo es creernos sin memoria y eso pasó Fue...
Soda Stereo	En Remolinos	Dejame vivir este sueño el mejor que he tenido Una flor, una flor, otra flor un maestro, una causa, un efecto Quien sabra el valor de tus deseos? quien sabra? Gira el sol, gira el mundo, gira Dios energia misteriosa, resplandor Al flotar mi cuerpo en remolinos, resplandor otra flor... Paraiso, zona pura, perfeccion Florecer mirandome a los ojos, perfeccion florecer mirandome a los ojos, perfeccion florecer los dos, florecer florecer los dos, florecer florecer...
Soda Stereo	No Existes	Alguna vez fue que planeamos Hacernos todo el daño de una vez dictando una sentencia desafiante No existes no existes no existes no existes Me apoyaron sobre la silla brillante truco de apariencias tu presencia es mi pesadilla No existes no existes no existes no existes Como un extraño tic nervioso arrojo palabras gestos contra la pared Toda una noche embalsamados golpee las mismas caras una y otra vez temi por mi cerebro aprisionado en una cama negra quizas deba tomarme una revancha aun tenemos cuentas por saldar deslizare mi puño por tu espalda No existes no existes no existes no existes Como un extraño tic nervioso arrojo palabras gestos contra la pared un pulso salvaje no existes ....
Soda Stereo	Sueles Dejarme Solo	Nena, nunca voy a ser un superhombre y sueles dejarme solo estoy abriendo el juego un juego elctrico y sueles dejarme solo. Ay, Ay, Ay (sin respuesta) El riesgo es el camino, mas intenso y sueles dejarme solo Afuera el fro embiste. Adentro el vrtigo y sueles dejarme solo. Ay, Ay, Ay Nena nunca voy a ser un superhombre y sueles dejarme solo
Soda Stereo	En El Séptimo Dia	Odio este domingo hbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los ttulos vi caer tu nombre y reaccion, reaccion. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da no descansar... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el sptimo da el abismo y la luna en el sptimo da. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da No descansar...
Soda Stereo	Un Millon De Años Luz	No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz Y cuando el mundo enmudece y las promesas engañan nos revolcamos en el jardin por donde nadie pasa Del fuego vino el diluvio la nave vuelve a partir y mi alimento son las cenizas de una noche larga No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz de casa De las historias pasadas ya no me aturde saber que ella conoce mi perversion en una noche larga y esta noche es larga No vuelvas sin razón no vuelvas yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa
Soda Stereo	De Música Ligera	Odio este domingo híbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los títulos vi caer tu nombre y reaccioné, reaccioné. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día no descansaré... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el séptimo día el abismo y la luna en el séptimo día. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día No descansaré...
Soda Stereo	Zona De Promesas	Mama sabe bien Perdi un batalla Quiero regresar Solo a besarla No esta mal ser mi dueño otra vez Ni temer que el rio sangre y calme Al contarle mis plegarias Tarda en llegar Y al final, al final Hay recompensa Mama sabe bien Que mi princesa Cuando regrese Todo quemaba No esta mal sumergirme otra vez Ni temer que el rio sangre y calme Si eh buscar en silencio Tarda en llegar Y al final, al final Hay recompensa Tarda en llegar Y al final, al final Hay recompensa Tarda en llegar Y al final, al final Hay recompensa Tarda en llegar Y al final, al final Hay recompensa En la zona de promesas
Soda Stereo	Cae El Sol	Y cada vez que vuelvo tus ecos estan y querra despertarme y al fin con vos volver a jugar Cae el sol y aun sigo soando sale el sol y no te puedo encontrar Y cada vez que vuelvo aqu siento que vos me arrojaste a la inercia sin novedad, sin decepcin Cae el sol y an sigo soando sale el sol y no te puedo encontrar Y cada vez que vuelvo un mismo final afuera el mundo sigue soy uno ms buscando en el mar Un extrao destino una oscura verdad tan slo tropiezos amar o callar anduve caminando por calles al azar por calles vacas Buenos Aires, Argentina humedad Cae el sol sale el sol y cada vez que vuelvo cae el sol sale el sol
Soda Stereo	Prófugos	Somos cómplices los dos al menos sé que huyo porque amo necesito distensión estar asi despierto es un delirio de condenados Como un efecto desigual yo siempre tomaré el desvío tus ojos nunca mentirán pero ese ruido blanco es una alarma a mis oidos No seas tan cruel no busques más pretextos no seas tan cruel siempre seremos prófugos los dos No tenemos donde ir somos como un area desvastada carreteras sin sentido religiones sin motivo como podremos hoy vivir No seas tan cruel no busques más pretextos no seas tan cruel siempre seremos, siempre seremos prófugos los dos
Soda Stereo	Nada Personal	Comunicación sin emoción una voz en off con expresión deforme busco algo que me saque este mareo busco calor en esa imagen de video Nada, nada personal nada, nada personal Ella no puede pensar, esta aburrida de tanto simular cayó dormida busco en TV algún mensaje entre líneas busco alguien que sacuda mi cabeza y no encuentro nada, nada Nada personal nada, nada personal nada especial Sinceramente sería tan bueno tocarte pero es inútil, tu cuerpo es de látex y no siento nada Nada personal nada, nada personal
Soda Stereo	Te Hacen Falta Vitaminas	Por mas que tengan los volumenes andando Viviendo tus membranas Saltando como una rana Por mas que intentes esquivarlo en algun vuelo Hay algo que te rasca Algo anda mal, mal, algo falla Dando vueltas por tu cuarto sin sentido, esperando algun milagro y no pasa nada Oye! te hacen falta vitaminas Oye! te hacen falta vitaminas Depresiones, confusiones Hasta cuando seguiran esas canciones Y que te da para soltarte? para animarte? O supones que alguien viene a despertarte? Oye! te hacen falta vitaminas (vitaminas uh uh) Oye! te hacen falta vitaminas (vitaminas) Va a ser mejor que te levantes de una vez Oye! te hacen falta vitaminas (vitaminas uh uh) Oye! te hacen falta vitaminas ( uh uh) Oye! te hacen falta vitaminas (vitaminas, uh uh) Oye! te hacen falta vitaminas ( uh uh) Oye! te hacen falta vitaminas (vitaminas, uh uh) Oye! te hacen falta vitaminas, minas, minas, minas He!
Soda Stereo	Disco Eterno	Me salí fuera de contexto practicar no te hace perfecto poner un disco eterno moverme con razón Un espíritu a veces seguro otras veces incierto vengo a descubrir porque este deseo crece Entre los dos pasa un meridiano latitud vidas paralelas abrir el sueño stereo crea la dimensión Sin disimular me voy desnudando con cada sonido alta fidelidad cuando este deseo crece Un espíritu a veces seguro otras veces incierto vengo a descubrir porque este deseo crece
Soda Stereo	Planeador	Gira el disco lentamente por la habitación soy piloto de juguetes entre nubes voy Cruzo el valle en mi fragil planeador La ternura de tu duda mi habitual rincón en cada minimo detalle creo oir tu voz Cruza el valle suenas fragil como yo
Soda Stereo	Luna Roja	el salio y dejo la casa vacia se entrego al suave aire del desierto y entonces la vio la luna roja sobre el mar negro luna roja primero leon luego cordero ruega a dios poder volver del desierto desde que vio la luna roja sobre el mar negro luna  roja cuidame yo te cuidare yo tambien pague placeres ciegos no quiero ver la luna roja sobre el mar negro luna roja luna roja es peligrosa es peligrosa
Soda Stereo	Té Para Tres	No vuelvas no vuelvas sin razn no vuelvas estar a un milln de aos luz Y cuando el mundo enmudece y las promesas engaan nos revolcamos en el jardn por donde nadie pasa del fuego vino el diluvio la nave vuelve a partir y mi alimento son las cenizas de una noche larga No vuelvas no vuelvas sin razn no vuelvas yo estar a un milln de anos luz de casa De las historias pasadas ya no me aturde saber ella conoce mi perversin en una noche larga y esta noche es larga No vuelvas no vuelvas sin razn no vuelvas estar a un milln de aos luz de casa
Soda Stereo	Claroscuro	Cuando ro de placer y me quedo solo susprando formas de humo... Dulce criatura, nunca ests segura y soy tan dependiente de tu amor. No me sigas, no se donde voy; las cenizas vuelan en un claroscuro y me nublan. Paso la frontera del dolor suicida alma fugitiva, librame. Cuando ests dormida volver a tocarte, me confiaste ser tu ngel. (aunque): dulce criatura nunca ests segura, ya no tengas dudas, soy tan dependiente de tu amor. Soy tan vulnerable a tu amor.
Soda Stereo	Persiana Americana	Yo te prefiero fuera de foco inalcanzable Yo te prefiero irreversible casi intocable Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Es una condena agradable el instante previo es como un desgaste una necesidad más que un deseo Estamos al borde de la cornisa casi a punto de caer no sientes miedo sigues sonriendo sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Lo que pueda suceder no gastes fuerzas para comprender sólo así yo te veré a través de mi persiana americana
