album_name	album_id	album_release_date	album_type	track_name	track_id	track_duration_ms	track_tempo	track_key	track_mode	track_danceability	track_energy	track_loudness	track_speechiness	track_acousticness	track_instrumentalness	track_liveness	track_valence	track_time_signature
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	En el Séptimo Día (SEP7IMO DIA)	2OYXpaYf86alQxLNsv8zYD	184546	106.047	4	1	0.529	0.935	-5.236	0.0335	0.000514	0.0786	0.0778	0.729	1
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Cae el Sol / Planta (SEP7IMO DIA)	0tkUZvL9ZbNLnzJ4jHeiOL	320040	117.968	4	0	0.259	0.816	-5.782	0.0366	0.00293	0.0292	0.298	0.359	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Picnic en el 4to B / Te Hacen Falta Vitaminas / Mi Novia Tiene Bíceps (SEP7IMO DIA)	466XGyJj6LHJcpeR3RhhJX	382800	93.683	9	1	0.354	0.953	-4.976	0.112	0.00258	0.00158	0.564	0.657	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Ella Usó, Un Misil (SEP7IMO DIA)	1tgb1PGMFHkMIOuwX7gGKv	89186	86.986	4	1	0.429	0.608	-6.157	0.0331	0.0231	0.000278	0.128	0.298	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Prófugos (SEP7IMO DIA)	70ivSNwJpoFzyU3vomPRYk	265640	127.004	4	0	0.537	0.905	-5.047	0.037	0.000684	0.00183	0.397	0.345	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	En Remolinos (SEP7IMO DIA)	3edjkiAggwnau6qjUVbIMh	300373	95.959	4	0	0.375	0.778	-7.928	0.0433	0.00391	0.764	0.184	0.0975	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Planeador (SEP7IMO DIA)	45utWFSZB3s3IZWdx4UHuc	144053	128.797	7	1	0.379	0.453	-8.174	0.0315	0.175	0.785	0.209	0.184	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Persiana Americana (SEP7IMO DIA)	09OiYtiWY76FsodXCJ9Ym9	214706	100.95	4	0	0.572	0.911	-5.156	0.0392	0.000264	0.126	0.0915	0.528	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Signos (SEP7IMO DIA)	02Io6R1p3g7HXae5QoOtxo	280813	125.155	4	0	0.426	0.687	-8.289	0.0393	0.182	0.0992	0.0943	0.23	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Un Millón de Años Luz (SEP7IMO DIA)	1xfLMIPxxnRrAUkJKZxPD6	257266	96.094	4	1	0.474	0.822	-5.229	0.0395	0.00315	0.0183	0.187	0.196	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Intro Luna Roja (SEP7IMO DIA)	0YTM2rY4IAExNO5oH64xKR	123360	77.36	2	1	0.206	0.614	-17.297	0.0524	0.99	0.887	0.571	0.0692	3
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Luna Roja (SEP7IMO DIA)	1wsDi2GVqi42m0meazoeNg	157226	94.937	9	1	0.442	0.789	-5.58	0.03	1.74e-05	0.0175	0.119	0.198	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Crema de Estrellas (SEP7IMO DIA)	2RZxjJ2Bx3IJjtrsWFFHRH	79466	137.735	9	1	0.449	0.301	-12.877	0.0286	0.602	1.11e-06	0.0932	0.0967	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Cuando Pase el Temblor (SEP7IMO DIA)	6WtvylZrf7yrWowHsmf92l	228066	96.023	0	1	0.619	0.669	-8.181	0.0316	0.0184	0.00027	0.253	0.596	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Hombre al Agua (SEP7IMO DIA)	0oqZnZRnOO2VWi1D1XCbT0	353280	96.964	2	1	0.551	0.666	-7.387	0.0299	0.00496	0.0466	0.148	0.388	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Sueles Dejarme Solo (SEP7IMO DIA)	0FoQu6F6IsBvNovgPYn0xL	59733	73.618	4	0	0.227	0.719	-5.881	0.0348	0.000852	0.895	0.0804	0.115	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	En la Ciudad de la Furia (SEP7IMO DIA)	4jwKmJZHwg6ntWwkm9olTz	321066	126.027	11	0	0.539	0.933	-4.815	0.0542	0.00333	0.00307	0.26	0.524	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Efecto Doppler (SEP7IMO DIA)	4FPZCGIAYVJ3fQve5yqRWL	76386	111.023	8	0	0.47	0.567	-10.59	0.0314	0.0426	0.961	0.111	0.694	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Primavera 0 (SEP7IMO DIA)	3YDRIccvxModclwFdQzV7N	294066	135.017	5	1	0.445	0.894	-7.322	0.0676	0.00182	0.439	0.12	0.122	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	De Música Ligera (SEP7IMO DIA)	0v1p6H03NUVHhOu3nXD7GC	349026	123.912	2	1	0.581	0.792	-6.462	0.0356	0.00934	0.0251	0.11	0.516	4
SEP7IMO DIA	0HUncweJW3LTO0YOvOEX4a	2017-03-10	album	Terapia de Amor Intensiva (SEP7IMO DIA)	3wy5XqAAA5uEdTjsDuG8GE	214840	90.037	0	1	0.469	0.619	-7.429	0.0289	0.467	0.00591	0.752	0.444	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Juegos De Seducción - Me Verás Volver Gira 2007	4vhG7cFEGcKk3DdT1wKb7P	258880	101.978	1	0	0.359	0.968	-3.862	0.0911	0.000679	0.388	0.956	0.126	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Tele-Ka - Me Verás Volver Gira 2007	3eyrw9O9Syvi3iKF9nmRDX	144880	172.352	2	1	0.428	0.998	-2.755	0.0993	0.00502	0.00222	0.959	0.679	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Imágenes Retro - Me Verás Volver Gira 2007	3ANCmPnNk0WBxNgBrBpLsp	264573	127.294	0	1	0.581	0.921	-4.881	0.0353	0.00113	0.00907	0.275	0.5	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Texturas - Me Verás Volver Gira 2007	3qjVNViLHI0sE7Kjbkgngw	293280	163.377	7	1	0.166	0.937	-4.996	0.0489	6.39e-06	0.349	0.788	0.348	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Hombre Al Agua - Me Verás Volver Gira 2007	3R1ySdkdWc0pBVTtoyU9d5	395373	99.006	2	1	0.518	0.87	-4.304	0.0464	0.00792	0.0116	0.883	0.414	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	En la Ciudad de la Furia - En Vivo Me Verás Volver Gira 2007	6jrFTDTF8VWnxuPPRGCf9k	396360	126.028	11	0	0.544	0.895	-6.141	0.0343	0.000729	0.0748	0.411	0.459	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Picnic En El 4º B - Me Verás Volver Gira 2007	61GH5nDlNqP1CbVUCh3J3H	261120	125.999	9	1	0.578	0.88	-4.062	0.0459	0.000839	0.00225	0.983	0.648	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Zoom - Me Verás Volver Gira 2007	2wME1HPxLnQBJAikvZoE7q	197506	96.059	9	1	0.565	0.957	-4.899	0.033	0.00214	0.184	0.856	0.96	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Cuando Pase El Temblor - Me Verás Volver Gira 2007	1IxumOjBoAYUl5c704Dbfw	279226	96.033	0	1	0.619	0.943	-3.64	0.0509	0.00874	0.00776	0.129	0.661	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Final Caja Negra - Me Verás Volver Gira 2007	72G1Ywo0HKm4JaX1PSdQaw	337933	125.972	9	1	0.401	0.932	-4.167	0.0773	7.44e-05	0.0448	1.0	0.219	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Corazón Delator - Me Verás Volver Gira 2007	0bpY2MKjM3ucogpEALJVTW	326053	85.328	3	0	0.537	0.592	-6.516	0.0307	0.00951	0.0132	0.385	0.184	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Signos - Me Verás Volver Gira 2007	0m4N8JnflJSOCGTF3l3eyg	380160	124.858	4	0	0.553	0.79	-8.056	0.041	0.0232	0.0181	0.941	0.345	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Sobredosis de T.V. - Me Verás Volver Gira 2007	12PvDKqAePEUg4E2cKzCwi	316906	125.043	4	1	0.561	0.954	-3.662	0.0697	0.00193	2.4e-05	0.883	0.502	4
Gira Me Verás Volver	4Sy7VzDS4j1MLIYF85grsZ	2008-07-14	album	Danza Rota - Me Verás Volver Gira 2007	2PZaBRrWBhFUij7tvGzZgN	231426	126.002	0	1	0.584	0.969	-2.42	0.0499	0.0125	0.00305	0.979	0.563	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Persiana Americana - Me Verás Volver Gira 2007	3ldFVPFlnrroJonBeWqGJ8	317320	101.022	6	1	0.555	0.97	-3.623	0.0484	0.000711	0.000545	0.974	0.501	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Fue - Me Verás Volver Gira 2007	7ANQlNlXk5O7UB3Rz1uiqK	277666	129.573	4	1	0.339	0.44	-11.933	0.0369	0.514	0.151	0.702	0.12	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	En Remolinos - Me Verás Volver Gira 2007	03LtGWQqr9Dx9VfER9Cw1h	271333	102.237	2	1	0.412	0.904	-6.604	0.0484	1.43e-05	0.215	0.421	0.11	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Primavera 0 - Me Verás Volver Gira 2007	4UJ9cBtrP88FzsMiTPl2Qr	238733	146.24	0	1	0.231	0.977	-4.491	0.119	0.00127	0.272	0.921	0.222	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	No Existes - Me Verás Volver Gira 2007	34KDAvDiZeCJ5vJzVnAl46	319560	167.084	9	1	0.509	0.852	-3.831	0.0586	5.5e-05	0.00827	0.676	0.169	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Sueles Dejarme Solo - Me Verás Volver Gira 2007	4i3gnxuqstxIUvnIZVDarh	261680	149.833	9	1	0.201	0.903	-3.923	0.0747	0.00103	0.0258	0.984	0.171	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	En El Séptimo Dia - Me Verás Volver Gira 2007	6UriR4vBskejDIjl3otfuK	280160	108.039	4	1	0.48	0.952	-5.032	0.0811	9.01e-05	0.000288	0.942	0.662	1
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Un Millon De Años Luz - Me Verás Volver Gira 2007	7AxqLYUMia5ojanjSN22Wi	410213	97.109	4	1	0.373	0.906	-4.256	0.0317	0.00224	0.0331	0.78	0.48	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	De Música Ligera - Me Verás Volver Gira 2007	6Ukx8yQT1o0URlryKL8lAr	221826	130.755	2	1	0.414	0.949	-4.208	0.0714	0.00208	0.032	0.956	0.457	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Zona De Promesas - Me Verás Volver Gira 2007	04JZ1YOZlnU4PTxeoWaU8V	234400	151.974	7	1	0.243	0.476	-8.047	0.0364	0.0772	3.75e-05	0.904	0.0732	3
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Cae El Sol - Me Verás Volver Gira 2007	48Q0XT3uUTxKAnv4AaMbUl	259440	99.028	4	0	0.547	0.936	-4.277	0.0381	0.00229	0.0186	0.703	0.528	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Prófugos - Me Verás Volver Gira 2007	4iYD0EHN5EmCh75tsXZCoS	349986	126.623	4	0	0.383	0.953	-4.902	0.06	3.86e-05	0.023	0.945	0.277	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Nada Personal - Me Verás Volver Gira 2007	3oyFhpjhF2KiEUKxmuRNfw	372733	122.968	8	0	0.562	0.97	-3.736	0.0545	0.00795	0.0907	0.862	0.549	4
Gira Me Verás Volver	1cwZmK0zXorTlALtgOajeC	2008-07-14	album	Te Hacen Falta Vitaminas - Me Verás Volver Gira 2007	3YqOTz8YqRKfxS64GyGUTB	225120	174.57	2	1	0.277	0.996	-4.228	0.467	0.00813	0.00231	0.963	0.385	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Disco Eterno - Remasterizado 2007	2dPm7S1Td6MDqpln5lGPiy	456093	149.959	0	1	0.474	0.846	-7.628	0.0381	0.012	0.609	0.989	0.351	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Planeador - Remasterizado 2007	5zvhnwLoq76ujBmfp5a8a8	265973	129.652	7	1	0.175	0.413	-8.007	0.0343	0.0914	0.552	0.552	0.15	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Luna Roja - Remasterizado 2007	4gyoEPdpbXdRSzl6pQeauz	336160	92.977	4	1	0.319	0.726	-5.715	0.0338	0.0109	0.222	0.711	0.127	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Té Para Tres - Remasterizado 2007	6ZmZn3i4Lz8Cm2OM24FK3h	152106	99.767	2	1	0.427	0.303	-11.817	0.0294	0.0471	0.0	0.911	0.231	3
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Cuando Pase El Temblor - Remasterizado 2007	79jHbl16mPsCzgozwFw9Dg	294693	94.016	0	1	0.647	0.781	-7.878	0.0324	0.00527	0.00291	0.754	0.379	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Claroscuro - Remasterizado 2007	3htUSkdYG9RraxQ0CL3nHB	335906	119.883	0	1	0.458	0.948	-7.169	0.128	0.00465	0.73	0.95	0.269	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Persiana Americana - Remasterizado 2007	6TTs9Wf4dIQdEAkXJFSEcR	280960	100.203	7	1	0.492	0.9	-5.852	0.0371	0.00318	0.136	0.993	0.27	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Un Millón De Años Luz - Remasterizado 2007	4HYZNYd2EErHLwvCZistk4	359133	95.108	4	1	0.358	0.833	-5.208	0.0353	0.0258	0.319	0.952	0.347	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Primavera 0 - Remasterizado 2007	68eo7VuKyrbped2IGy3XuB	264200	133.56	5	1	0.208	0.856	-5.708	0.0469	0.000207	0.625	0.871	0.117	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	Cae El Sol - Remasterizado 2007	14qUG8qf2vIpTZDbjG9KxN	291573	97.878	7	1	0.208	0.763	-6.409	0.0425	0.000513	0.00804	0.693	0.188	4
El Ultimo Concierto B (Remastered)	0k9Oh11PrdeZ6ngoJGhWMk	1997-10-09	album	De Música Ligera - Remasterizado 2007	3lWvP5u93wOdPlqIydFW7g	291373	124.189	2	1	0.252	0.889	-5.743	0.183	0.0392	0.089	0.723	0.204	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	En La Ciudad De La Furia - Remasterizado 2007	5HmDTAedbpgzSkyU7CuVzE	397826	122.075	11	0	0.496	0.909	-6.165	0.0461	0.0032	0.0746	0.988	0.54	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	El Rito - Remasterizado 2007	0es33Xx9LmJoIPwlezBCmJ	424906	117.312	0	1	0.491	0.808	-6.275	0.0367	0.0269	0.0014	0.95	0.335	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Hombre Al Agua - Remasterizado 2007	22RKxY3GXYzNiJu36nFueQ	389426	96.986	4	0	0.488	0.667	-7.051	0.0285	0.0134	0.095	0.918	0.331	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	En El Séptimo Día - Remasterizado 2007	6wo8yue6rY0pY2zmztMMCj	297440	107.314	4	1	0.483	0.848	-6.17	0.033	1.48e-05	0.0248	0.985	0.612	1
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Canción Animal - Remasterizado 2007	7KCTbCIcb2acPttGcCkKbe	257800	105.086	4	0	0.573	0.779	-6.683	0.0266	0.0206	0.0552	0.947	0.669	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Trátame Suavemente - Remasterizado 2007	2LxyITcslKIKdMyYdHdA5l	244200	104.523	7	1	0.47	0.576	-8.687	0.0289	0.181	0.299	0.744	0.0878	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Paseando Por Roma - Remasterizado 2007	0zp92Miwhh5vO3B3dhxrxI	223066	127.879	9	0	0.459	0.793	-6.79	0.0407	0.00011	0.152	0.701	0.336	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Lo Que Sangra (La Cúpula) - Remasterizado 2007	67XS7eWumbLVktm0QSkks4	316826	102.931	0	1	0.381	0.87	-5.804	0.042	0.0302	0.00973	0.818	0.634	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Zoom - Remasterizado 2007	1hQ02BkTnR0BNs3SAznttM	214666	94.261	4	1	0.631	0.871	-7.161	0.0344	0.0452	0.00952	0.966	0.855	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Signos - Remasterizada 2007	62jnuBopQmg4qx6hpYltC9	271400	122.701	9	0	0.518	0.712	-9.269	0.0297	0.143	0.0629	0.612	0.509	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Ella Usó Mi Cabeza Como Un Revólver - Remasterizado 2007	6M33ukGn1XGp1Lv5FhbcZy	278666	82.711	5	1	0.477	0.723	-5.93	0.0259	0.0111	0.00972	0.919	0.27	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	En la Ciudad de la Furia - MTV Unplugged	2p4FOWHHd2A6TBmTkdt1G0	522000	170.604	11	0	0.361	0.519	-10.02	0.0597	0.415	0.057	0.845	0.266	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Un Misil En Mi Placard - MTV Unplugged	7IJC1qatyg2t8SZiwJRvID	274586	95.964	11	0	0.502	0.782	-7.707	0.0243	0.00223	0.00108	0.907	0.613	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Pasos - MTV Unplugged	4Tm0tTVcYTyn5lD7qEJkVU	163133	90.69	5	1	0.471	0.657	-7.579	0.0301	0.0674	5.15e-05	0.682	0.383	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Entre Canibales - MTV Unplugged	060aWWmC9CrLqbhzHQifQf	294146	110.927	4	0	0.635	0.677	-7.149	0.0278	0.018	0.0154	0.946	0.536	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Te Para 3 - MTV Unplugged	2kMVxFh1y5gow2hBtqGO4m	247000	115.7	2	1	0.523	0.339	-9.913	0.0275	0.707	0.0111	0.709	0.117	3
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Angel Electrico - MTV Unplugged	7H8TNV5Vc6poupuNxaE6KG	285280	91.877	0	1	0.428	0.764	-8.512	0.0436	0.112	0.0296	0.73	0.447	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Ella Uso Mi Cabeza Como Un Revolver - MTV Unplugged	00TU7szqwBrxWTd9SO7ihK	364493	82.858	0	0	0.396	0.764	-7.348	0.0342	0.00284	0.0128	0.708	0.236	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Sonoman (Banda De Sonido)	3KNdFPnW6CcRJOo7ONL2mg	205466	96.609	4	0	0.548	0.84	-10.266	0.0523	0.000295	0.616	0.538	0.0879	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Planeador	1css4Yf4FaorSKniMFMdJw	275173	122.099	7	1	0.186	0.428	-11.528	0.0384	0.0206	0.752	0.297	0.117	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Coral	13fEiuZo5A4aiPNRds3OpM	222133	88.452	6	0	0.511	0.574	-9.888	0.0317	0.0224	0.0103	0.0819	0.262	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Superstar	6PudNM0mVIi3ipGCSUW8gu	248333	120.104	0	1	0.555	0.692	-9.717	0.0299	1.58e-05	0.506	0.2	0.551	1
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Ella Usó Mi Cabeza Como Un Revólver - Remasterizado 2007	5RzXSxR7BUhEtpqh77lMbR	269760	165.415	2	0	0.374	0.759	-6.871	0.0261	0.00371	0.0174	0.104	0.289	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Disco Eterno - Remasterizado 2007	1MgAlKWp9ntSF5DRG6vKYl	346026	150.076	0	1	0.549	0.795	-7.169	0.0268	0.00224	0.188	0.293	0.573	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Zoom - Remasterizado 2007	1djou52IdL1mVEE7gTauxo	206306	93.923	4	1	0.693	0.823	-6.433	0.0292	0.0759	0.185	0.0574	0.949	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Ojo De La Tormenta - Remasterizado 2007	5Q943XYZo0Xvq4qUQebmWC	273160	95.009	9	1	0.539	0.833	-6.527	0.0262	0.000419	0.307	0.319	0.522	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Efecto Doppler - Remasterizado 2007	78fEwrT5UGW1CZfFnEqmUk	302800	110.892	11	1	0.545	0.664	-10.704	0.033	0.0382	0.691	0.201	0.496	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Paseando Por Roma - Remasterizado 2007	7Dk43uYcLammTOb4kS7Q9g	214186	127.746	9	0	0.515	0.734	-5.547	0.0357	0.000928	0.0461	0.09	0.454	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Pasos - Remasterizado 2007	7KMxBakqV7SKVrS6qDv2yq	233706	88.906	5	1	0.469	0.581	-10.358	0.0341	0.0626	0.0497	0.102	0.356	4
